payer_entity,brand_or_note,relationship,page_id,page_names_seen,page_name_unbranded,ads_sampled,ads_naming_brand_in_creative,summed_eu_reach,delivered_male,delivered_female,male_share,gender_target_counts,age_target,first_ad_start,last_ad_start,page_likes,top_destination,top_delivery_countries,ad_library_url
ATHLETIC GREENS,AG1,brand operator (creator whitelisting),273529149186313,Sadie Smart,yes,1,1,225610,123819,86953,0.5461,All:1,25-65,2026-04-01,2026-04-01,85,drinkag1.com,DE;AT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=273529149186313
AdQuantum LTD,links to betterme-pilates.com,media buying agency,489302127600334,28 Day Challenge,no,68,68,4908439,1832544,3087260,0.3686,Women:42;All:17;Men:9,18-65,2025-07-05,2026-08-17,106011,betterme-fasting.com,CZ;ES;FR;DE;IT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=489302127600334
BETTERME LIMITED,BetterMe,brand operator,116143894813499,Lessie Fitness,yes,297,297,139394423,594344,139373782,0.0042,Women:281;All:16,18-65,2024-09-26,2026-08-14,1823913,betterme-betterwoman.com,ES;FR;PT;DE;IT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=116143894813499
BETTERME LIMITED,BetterMe,brand operator,109270228169203,BetterMe Store,no,261,261,39172738,305779,38885942,0.0078,Women:248;All:13,18-65,2025-07-05,2026-04-04,53019,betterme-pilates-plan.com,IT;DE;ES;FR;IE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=109270228169203
BETTERME LIMITED,BetterMe,brand operator,532718256584886,Liliia Fitness,yes,50,50,35969619,518934,35390955,0.0143,All:36;Women:14,18-65,2024-12-30,2025-09-08,163632,betterme-pilates.com,ES;IT;PL;FR;DE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=532718256584886
BETTERME LIMITED,BetterMe,brand operator,119863333184039,BetterMe: Mental Health,no,270,270,9017662,2246108,6719431,0.2474,All:270,18-65,2025-08-22,2026-08-12,100545,mind-quiz.betterme.world,PL;RO;DE;IT;ES,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=119863333184039
BETTERME LIMITED,BetterMe,brand operator,330683873451642,Tori Business Growth,yes,270,270,2193007,510703,1672020,0.2315,All:269;Men:1,18-65,2025-07-11,2026-08-10,3639,creators.betterme.world,RO;ES;IT;PT;PL,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=330683873451642
BETTERME LIMITED,BetterMe,brand operator,104116678816422,Tori Repa,yes,1,1,446158,0,430436,0.0,Women:1,18-50,2023-12-31,2023-12-31,2024390,betterme-pilates.com,ES;FR;DE;IT;PT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=104116678816422
BETTERME LIMITED,BetterMe,brand operator,116700222203350,BetterMe,no,1,1,355529,4584,352236,0.0127,All:1,18-65,2026-02-12,2026-02-12,6192564,betterme-pilates.com,FR;IT;ES;DE;NL,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=116700222203350
Bare Ritual,Bare Ritual,unrelated to Ritual the vitamin brand,662331720305715,Bare Ritual,no,65,28,1711932,1542944,153272,0.8941,All:65,18-65,2025-11-15,2026-08-08,1990,bare-ritual.com,SE;DE;NL;IE;ES,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=662331720305715
Bare Ritual,Bare Ritual,unrelated to Ritual the vitamin brand,836713856202191,Michael Harrison,no,23,13,71691,63577,7785,0.8765,All:23,18-65,2026-01-10,2026-04-25,286,bare-ritual.com,IE;ES;SE;PT;NL,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=836713856202191
CONVERT BEES LTD,links to betterme-pilates.com,"third party, relationship to BetterMe unknown",489302127600334,28 Day Challenge,no,219,219,27339297,2323366,24822863,0.0848,Women:199;All:10;Men:10,18-65,2025-07-05,2026-08-15,106011,betterme-pilates.com,PL;IT;FR;HU;PT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=489302127600334
CONVERT BEES LTD,links to betterme-pilates.com,"third party, relationship to BetterMe unknown",2218552984898617,28 Day Challenge,no,6,6,991108,14856,977953,0.0148,Women:5;All:1,18-65,2025-11-18,2026-01-13,1496485,betterme-pilates.com,IE;ES;IT;DE;GR,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=2218552984898617
CONVERT BEES LTD,links to betterme-pilates.com,"third party, relationship to BetterMe unknown",518112901378716,28 Day Challenge,no,3,3,276334,3062,282775,0.0106,Women:3,18-65,2025-08-09,2025-08-17,18804,betterme-pilates.com,ES;IT;PT;FR;DE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=518112901378716
CONVERT BEES LTD,links to betterme-pilates.com,"third party, relationship to BetterMe unknown",104335356023702,Wall Pilates Challenge,no,1,1,182965,2508,174425,0.014,All:1,18-65,2025-12-29,2025-12-29,38206,betterme-pilates.com,DE;SI;HR;NL;RO,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=104335356023702
ERECTOGEN,links to noom.com,"third party, not Noom",733396323188665,Dr. Aline Fernandes,no,9,0,9199,8722,352,0.9519,Men:9,25-65,2025-08-18,2025-08-21,18,noom.com,DE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=733396323188665
ERECTOGEN,links to noom.com,"third party, not Noom",109134008550304,Dr. David García,no,1,0,581,572,4,0.9931,Men:1,25-65,2025-08-20,2025-08-20,8,noom.com,DE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=109134008550304
GTHW APP LIMITED,Headway,brand operator,104019879239683,Fun & Easy Growth,yes,275,269,60628386,33299473,27278689,0.5449,All:275,18-65,2024-09-21,2026-07-19,67028,makeheadway.com,IT;ES;DE;PL;PT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=104019879239683
GTHW APP LIMITED,Headway,brand operator,250289965916061,Headway | Headway App | Headway Growth Club,no,260,236,43359790,19537768,23749401,0.4459,All:260,18-65,2025-02-16,2026-07-27,758803,makeheadway.com,DE;FR;IT;PL;ES,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=250289965916061
GTHW APP LIMITED,Headway,brand operator,780120101857060,Adrián Navarro | Tu Perspectiva Diaria,yes,270,229,2648179,1631921,1003954,0.6128,All:270,18-65,2025-10-03,2026-08-05,1167,makeheadway.com,ES;IT;PT;DE;FR,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=780120101857060
GTHW APP LIMITED,Headway,brand operator,548065861715178,Victoria Solano,yes,270,92,2474722,1078134,1389894,0.4329,All:270,18-65,2025-10-17,2026-08-03,2057,play.google.com,ES;PT;IT;DE;FR,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=548065861715178
GTHW APP LIMITED,Headway,brand operator,879997845186256,Feliz Jornada de Crescimento,yes,270,270,1146162,552393,585018,0.4824,All:270,18-65,2025-10-04,2026-02-06,976,makeheadway.com,PT;FR;IE;ES;IT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=879997845186256
GTHW APP LIMITED,Headway,brand operator,147639078433114,Audiolibros para caminar,yes,234,234,231588,40540,185228,0.1768,All:234,18-65,2025-07-08,2026-06-22,33179,makeheadway.com,ES;PT;IT;DE;FR,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=147639078433114
RISE SCIENCE INC.,Rise Science,brand operator,1023599077769643,Rise Science,no,383,239,47621452,29764938,17067364,0.6195,All:383,18-65,2024-09-28,2026-07-30,10902,rise.go.link,FR;DE;IT;RO;PL,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=1023599077769643
RISE SCIENCE INC.,Rise Science,brand operator,1036717286198383,Liam Davis,yes,202,202,3005720,2072554,853770,0.6917,All:202,18-65,2026-05-12,2026-08-14,30,onboarding.risescience.com,DE;IT;ES;IE;PT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=1036717286198383
RISE SCIENCE INC.,Rise Science,brand operator,560449080492798,Chris P. Bacon ,yes,104,87,213439,103058,107594,0.4777,All:104,18-65,2025-06-04,2026-08-14,15,onboarding.risescience.com,IE;DE;IT;BE;ES,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=560449080492798
RISE SCIENCE INC.,Rise Science,brand operator,648352408354410,Dr. Elara Quinn ,yes,51,37,136626,44612,85847,0.3354,All:51,18-65,2025-06-04,2026-07-30,9,onboarding.risescience.com,DE;IE;IT;BE;ES,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=648352408354410
RISE SCIENCE INC.,Rise Science,brand operator,596768416858131,Paige Turner,yes,83,55,89709,38778,48320,0.4338,All:83,18-65,2025-06-04,2026-08-07,17,onboarding.risescience.com,DE;IT;IE;FR;BE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=596768416858131
yiqiao,surfaced on hims.com search,unrelated advertiser,688057517726762,Dr. Claudia Schneider,no,41,0,258454,52788,204299,0.2038,All:41,18-65,2026-03-28,2026-07-06,85,direct.obgadgets.top,DE;AT;LU;IT;HU,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=688057517726762
yiqiao,surfaced on hims.com search,unrelated advertiser,837323482805428,Dr. Anna Lindström,no,1,0,32051,4332,27335,0.1362,All:1,18-65,2026-04-26,2026-04-26,255,direct.obgadgets.top,RO;DE;IT;IE;BE,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=837323482805428
yiqiao,surfaced on hims.com search,unrelated advertiser,685383931327955,Dra. Johanna Korhonen,no,2,0,225,68,155,0.3022,All:2,18-65,2026-03-31,2026-03-31,74,direct.obgadgets.top,HU;RO;IE;DE;IT,https://www.facebook.com/ads/library/?active_status=all&ad_type=all&country=DE&view_all_page_id=685383931327955
